sentences,words,OOV,logprob,ppl,ppl1
31,335,0,-500.432,23.297,31.1764
25,187,0,-330.858,36.3622,58.7885
34,281,0,-417.592,21.1685,30.6263
18,183,0,-384.449,81.7865,126.129
33,287,0,-412.683,19.482,27.4106
34,284,0,-446.231,25.3071,37.2595
28,220,0,-343.419,24.2524,36.3912
59,418,0,-677.463,26.3184,41.7567
71,241,0,-476.324,33.6264,94.7217
47,308,0,-476.836,22.0395,35.3322
86,330,0,-553.75,21.4353,47.6464
26,195,0,-385.385,55.4398,94.696
24,216,0,-382.596,39.2782,59.0581
58,284,0,-466.243,23.0826,43.823
79,328,0,-590.262,28.2017,63.0348
39,408,0,-655.129,29.2155,40.3375
51,367,0,-628.471,31.88,51.5767
59,204,0,-387.669,29.7871,79.4951
31,240,0,-438.209,41.4006,66.9683
21,165,0,-309.307,46.0196,74.9187
