sentences,words,OOV,logprob,ppl,ppl1
70,533,0,-1251.38,118.92,222.742
47,260,57,-813.033,1787.03,10117.9
59,334,69,-891.728,565.259,2317.46
24,160,1,-401.003,155.336,332.682
38,188,35,-599.521,1376.74,8287.72
34,248,1,-613.102,152.005,303.526
70,533,0,-1251.38,118.92,222.742
7,69,5,-162.856,196.676,350.454
50,368,2,-839.989,104.521,197.265
84,511,2,-1221.71,114.871,251.308
44,295,2,-704.717,123.352,254.201
64,408,4,-971.046,118.819,253.267
82,423,34,-1129.49,250.078,800.909
38,258,1,-559.299,78.6918,150.059
17,154,13,-435.504,570.633,1226.54
46,286,54,-889.151,1579.01,6800.58
58,379,2,-874.744,102.543,209.062
36,281,0,-705.105,167.612,323.05
15,267,7,-694.81,336.188,470.269
70,533,0,-1251.38,118.92,222.742
39,234,2,-642.138,234.161,585.92
50,241,40,-786.654,1361.7,8197.92
76,415,21,-942.342,101.154,246.451
58,379,2,-874.744,102.543,209.062
91,579,43,-1317.13,126.092,286.638
78,342,4,-855.905,114.147,340.614
47,341,2,-774.337,101.404,192.388
23,127,3,-330.211,176.332,460.246
58,306,95,-855.01,1508.25,11276.6
59,334,69,-891.728,565.259,2317.46
70,533,0,-1251.38,118.92,222.742
70,339,21,-812.606,124.264,359.224
57,426,2,-889.926,70.8203,125.569
78,542,30,-1279.94,147.702,316.14
75,440,12,-1008.02,100.929,226.562
33,222,5,-550.281,158.9,343.445
143,781,43,-2224.92,335.312,1034.66
60,542,52,-1467.89,466.538,990.123
64,408,4,-971.046,118.819,253.267
53,425,1,-961.809,103.842,185.532
64,398,15,-1124.93,328.57,865.289
62,565,4,-1323.5,133.168,228.656
69,452,19,-922.802,68.9052,135.264
72,353,2,-788.76,73.2286,176.677
62,386,1,-857.619,82.9107,168.881
58,379,2,-874.744,102.543,209.062
50,433,0,-1079.28,171.61,310.866
67,516,16,-1253.31,162.342,321.091
75,437,111,-1155.26,760.232,3497.36
43,224,3,-544.904,115.886,292.166
260,746,21,-2277.5,205.204,1384.79
130,1018,62,-2608.24,252.168,534.909
59,452,0,-883.516,53.579,90.0911
109,844,53,-2608.4,791.093,1984.28
65,402,1,-1054.86,183.509,427.155
33,312,4,-891.286,410.905,783.043
58,548,36,-1328.54,214.175,393.37
52,508,2,-1101.18,94.0664,150.051
101,874,384,-1663.55,652.833,2483.11
67,489,7,-1022.41,72.8307,132.186
69,421,0,-778.372,38.7716,70.6096
63,376,50,-780.165,101.29,247.255
62,455,36,-1133.44,227.211,507.122
62,543,12,-1388.16,219.238,411.38
18,92,2,-220.68,110.493,283.139
50,433,0,-1079.28,171.61,310.866
50,306,0,-634.656,60.6375,118.587
26,125,8,-345.118,259.068,890.693
68,443,10,-1076.94,141.119,307.02
45,293,3,-681.94,108.553,224.656
36,224,16,-505.294,117.727,268.719
25,213,0,-546.378,197.564,367.415
84,516,10,-1285.99,151.229,347.914
68,468,17,-891.184,52.1336,94.6275
50,306,0,-634.656,60.6375,118.587
70,533,0,-1251.38,118.92,222.742
108,550,12,-1378.71,136.215,365.307
64,674,13,-1522.62,125.94,201.144
61,478,17,-1206.71,204.979,414.569
59,155,2,-376.962,59.9959,290.939
47,346,0,-752.042,81.9585,149.119
51,386,2,-896.521,115.072,216.118
91,579,43,-1317.13,126.092,286.638
94,750,39,-1999.88,305.012,649.776
48,306,5,-742.015,133.696,291.854
33,173,3,-482.842,239.074,692.225
60,380,3,-812.961,72.4975,143.349
108,425,17,-1086.26,127.396,459.623
71,524,2,-1258.25,132.387,257.305
39,258,6,-653.585,176.196,392.276
17,146,1,-386.93,244.601,466.106
56,502,11,-1077.21,93.1769,156.284
80,657,3,-1625.44,163.868,305.761
87,286,1,-695.479,74.0573,275.599
56,144,2,-386.157,89.1844,524.103
55,170,2,-420.511,76.8597,318.45
15,99,0,-225.052,94.2192,187.608
78,434,12,-797.879,39.4238,77.7516
1,7,2,-14.6838,280.093,864.496
42,297,1,-680.94,103.422,199.743
36,224,2,-463.481,62.5804,122.392
49,429,6,-1033.39,154.66,277.327
72,533,5,-1204.56,101.765,191.145
44,246,3,-582.042,106.665,248.447
42,335,26,-761.415,147.664,291.156
