sentences,words,OOV,logprob,ppl,ppl1
16,140,0,-329.207,128.914,224.635
79,535,0,-1196.53,88.8683,172.387
1,656,0,-1355.31,115.577,116.417
63,512,0,-1070.85,72.8357,123.452
31,185,0,-390.519,64.2626,129.096
79,548,0,-1114.36,59.8809,108.02
115,1017,0,-2279.56,103.215,174.361
64,430,0,-874.942,59.0389,108.33
112,880,0,-1942.96,90.9128,161.4
55,425,0,-952.63,96.5265,174.375
168,1046,0,-2434.66,101.271,212.613
59,346,0,-716.936,58.9131,118.051
45,312,0,-675.063,77.7914,145.768
49,292,0,-649.178,80.1214,167.191
66,591,0,-1249.64,79.807,130.152
62,490,0,-1129.24,111.105,201.642
47,337,0,-758.86,94.6667,178.57
49,366,0,-761.992,68.5686,120.766
80,552,0,-1097.47,54.5134,97.3129
121,698,0,-1503.72,68.5557,142.668
90,735,0,-1621.79,92.4287,160.886
92,993,0,-2219.54,111.085,171.863
80,641,0,-1366.84,78.6612,135.632
1,564,0,-1243.09,158.546,159.977
66,496,0,-1140.58,107.031,199.327
81,658,0,-1210.42,43.4427,69.1106
65,408,0,-798.16,48.6903,90.4222
19,110,0,-248.019,83.6808,179.769
70,556,0,-1337.72,137.066,254.664
87,715,0,-1419.59,58.8936,96.7046
95,843,0,-1711.01,66.6966,107.07
100,800,0,-1688.24,75.1315,128.914
118,993,0,-2277.66,112.228,196.662
57,442,0,-1056.62,131.062,245.779
80,641,0,-1366.84,78.6612,135.632
80,606,0,-1277.11,72.7233,128.068
1,228,0,-485.621,132.012,134.87
126,1023,0,-2425.56,129.126,234.975
50,406,0,-874.675,82.8222,142.683
59,502,0,-1122.78,100.319,172.428
128,1058,0,-2223.07,74.8898,126.24
67,533,0,-1241.88,117.435,213.786
49,424,0,-778.474,44.2408,68.5527
93,728,0,-1626.07,95.6313,171.244
66,522,0,-1089.53,71.2763,122.243
57,372,0,-782.461,66.668,126.879
93,547,0,-1244.61,88.0436,188.509
81,658,0,-1210.42,43.4427,69.1106
102,816,0,-1859.72,106.129,190.136
49,277,0,-655.963,102.839,233.398
69,537,0,-1102.63,65.9964,113.061
55,409,0,-915.918,94.1806,173.544
117,767,0,-1884.67,135.512,286.547
18,53,0,-129.305,66.2509,275.239
69,553,0,-1267.44,109.064,195.854
75,594,0,-1238.31,70.9552,121.533
74,503,0,-1087.55,76.706,145.251
20,215,0,-483.965,114.664,178.239
85,802,0,-1601.72,63.9407,99.3489
