sentences,words,OOV,logprob,ppl,ppl1
16,140,0,-346.246,165.778,297.294
79,535,0,-1279.34,121.231,246.201
1,656,0,-1464.29,169.337,170.667
63,512,0,-1178.46,112.073,200.302
31,185,0,-421.397,89.3125,189.593
79,548,0,-1210.15,85.1274,161.551
115,1017,0,-2454.76,147.407,259.256
64,430,0,-932.514,77.2112,147.448
112,880,0,-2271.6,194.946,381.381
55,425,0,-1034.73,143.113,272.051
168,1046,0,-2587.41,135.304,297.595
59,346,0,-775.12,82.0119,173.873
45,312,0,-740.788,118.86,236.767
49,292,0,-701.859,114.351,253.296
66,591,0,-1346.91,112.225,190.123
62,490,0,-1206.31,153.232,289.643
47,337,0,-784.449,110.366,212.688
49,366,0,-835.602,103.157,191.896
80,552,0,-1201.86,79.7397,150.411
121,698,0,-1626.92,96.932,214.203
90,735,0,-1741.84,129.216,234.339
92,993,0,-2387.44,158.637,253.669
80,641,0,-1494.06,118.086,214.201
1,564,0,-1332.98,228.695,230.909
66,496,0,-1205.59,139.693,269.538
81,658,0,-1350.43,67.2016,112.806
65,408,0,-853.516,63.749,123.581
19,110,0,-259.481,102.679,228.518
70,556,0,-1396.42,170.098,324.744
87,715,0,-1593.9,97.1425,169.525
95,843,0,-1858.28,95.7431,160.09
100,800,0,-1731.01,83.8184,145.8
118,993,0,-2410.48,147.791,267.59
57,442,0,-1154.48,205.87,409.216
80,641,0,-1494.06,118.086,214.201
80,606,0,-1335.79,88.5568,160.059
1,228,0,-536.56,220.322,225.597
126,1023,0,-2578.57,175.462,331.584
50,406,0,-944.281,117.704,211.746
59,502,0,-1265.27,180.044,331.476
128,1058,0,-2384.01,102.359,179.191
67,533,0,-1283.04,137.53,255.388
49,424,0,-865.626,67.6202,110.045
93,728,0,-1767.67,142.254,267.987
66,522,0,-1186.03,104.005,187.104
57,372,0,-844.928,93.2242,186.772
93,547,0,-1333.28,121.128,273.8
81,658,0,-1350.43,67.2016,112.806
102,816,0,-1884.11,112.826,203.686
49,277,0,-719.105,160.636,394.5
69,537,0,-1212.92,100.349,181.423
55,409,0,-998.138,141.631,275.698
117,767,0,-2013.18,189.387,421.447
18,53,0,-136.27,83.0422,372.508
69,553,0,-1368.8,158.727,298.699
75,594,0,-1353.47,105.468,189.918
74,503,0,-1170.96,107.002,212.789
20,215,0,-547.26,213.19,351.073
85,802,0,-1731.21,89.4874,144.085
86,682,0,-1467.43,81.4176,141.794
48,184,0,-503.239,147.616,543.243
80,552,0,-1201.86,79.7397,150.411
57,540,0,-1185.23,96.6731,156.627
18,153,0,-349.35,110.403,192.014
76,489,0,-1234.1,152.841,333.975
109,800,0,-1917.89,128.793,249.668
70,531,0,-1197.07,98.1304,179.629
81,691,0,-1486.54,84.2495,141.672
25,269,0,-637.25,147.068,233.862
21,184,0,-391.282,81.039,133.824
63,430,0,-1074.33,151.066,315.093
147,901,0,-1921.14,68.0997,135.59
125,990,0,-2373.84,134.588,249.931
106,735,0,-1820.5,146.11,299.824
58,574,0,-1348.86,136.228,223.832
61,503,0,-1270.33,178.795,335.354
56,436,0,-910.707,70.9628,122.681
73,625,0,-1479.44,131.687,232.865
25,166,0,-413.095,145.479,307.98
65,484,0,-1225.3,170.563,340.112
38,354,0,-822.695,125.52,210.862
78,697,0,-1577.72,108.586,183.482
19,142,0,-323.457,102.106,189.612
78,704,0,-1675.8,138.986,240.105
9,77,0,-188.947,157.42,284.355
69,537,0,-1212.92,100.349,181.423
56,436,0,-910.707,70.9628,122.681
61,528,0,-1154.47,91.2133,153.64
76,538,0,-1363.76,166.383,342.666
85,701,0,-1505.9,82.3948,140.674
61,538,0,-1206.61,103.363,174.888
88,657,0,-1698.61,190.549,384.943
45,368,0,-869.873,127.711,231.092
87,663,0,-1356.43,64.354,111.148
42,412,0,-919.519,106.016,170.546
66,393,0,-946.776,115.53,256.507
75,492,0,-1189.59,125.328,261.741
66,469,0,-1144.44,137.766,275.532
63,661,0,-1629.4,178.057,291.783
21,184,0,-391.282,81.039,133.824
48,435,0,-993.579,114.051,192.348
147,901,0,-1921.14,68.0997,135.59
69,546,0,-1320.52,140.34,262.138
95,843,0,-1858.28,95.7431,160.09
84,701,0,-1536.41,90.6181,155.506
19,91,0,-216.733,93.3908,240.816
99,1052,0,-2129.68,70.8407,105.781
90,797,0,-1853.94,123.064,211.911
41,402,0,-984.941,167.241,281.905
49,424,0,-865.626,67.6202,110.045
46,458,0,-1077.74,137.521,225.497
31,238,0,-605.268,177.856,349.256
47,433,0,-985.971,113.268,189.265
117,718,0,-1664.05,98.3717,207.785
15,486,0,-1130.81,180.765,212.216
69,474,0,-1120.08,115.547,230.692
80,637,0,-1465.72,110.724,199.974
66,644,0,-1483.01,122.673,200.823
78,697,0,-1577.72,108.586,183.482
69,560,0,-1239.07,93.3036,163.162
90,636,0,-1628.48,175.018,363.495
85,611,0,-1410.87,106.441,203.756
83,642,0,-1448.84,99.6308,180.615
77,580,0,-1300.73,95.4556,174.839
64,496,0,-1140.93,108.987,199.646
74,652,0,-1506.1,118.718,204.158
81,658,0,-1350.43,67.2016,112.806
8,41,0,-106.844,151.529,403.608
109,1065,0,-2394.92,109.639,177.316
105,601,0,-1337.04,78.3102,167.759
22,202,0,-456.788,109.454,182.527
121,780,0,-1847.57,112.35,233.71
22,164,0,-392.351,128.651,246.822
87,546,0,-1409.1,168.295,380.868
74,607,0,-1344.24,94.173,163.897
58,410,0,-864.573,70.3684,128.444
60,476,0,-1171.65,153.428,289.361
50,324,0,-687.156,68.7567,132.084
87,701,0,-1626.73,115.978,209.209
62,474,0,-1101.63,113.575,210.919
69,505,0,-1223.29,135.257,264.453
112,610,0,-1361.32,76.8225,170.481
77,700,0,-1526.09,92.0629,151.403
91,673,0,-1592.13,121.324,232.128
106,905,0,-2223.82,158.35,286.586
73,500,0,-1282.39,172.996,367.103
26,200,0,-516.631,193.187,382.96
92,664,0,-1545.14,110.619,212.331
56,499,0,-1122.72,105.419,177.803
46,379,0,-854.992,102.741,180.267
74,652,0,-1506.1,118.718,204.158
115,998,0,-2549.41,195.245,358.528
128,977,0,-2273.19,114.073,212.179
78,572,0,-1395.38,140.199,275.095
74,587,0,-1387.86,125.788,231.383
63,451,0,-1081.87,127.294,250.511
45,318,0,-711.835,91.4068,173.171
30,247,0,-593.35,138.694,252.48
36,286,0,-704.437,154.061,290.447
8,64,0,-159.123,162.195,306.402
79,764,0,-1730.96,113.067,184.357
52,437,0,-1087.49,167.456,307.985
40,301,0,-620.853,66.1735,115.514
5,285,0,-711.568,284.238,313.855
59,346,0,-775.12,82.0119,173.873
23,222,0,-574.544,221.349,387.29
49,293,0,-732.962,139.048,317.379
64,597,0,-1509.41,192.101,337.543
87,546,0,-1146.33,64.7065,125.749
82,601,0,-1361.15,98.3782,183.996
146,956,0,-2156.02,90.4617,179.993
86,682,0,-1467.43,81.4176,141.794
50,324,0,-687.156,68.7567,132.084
111,846,0,-2142.81,173.418,341.095
68,495,0,-1167.97,118.725,228.838
60,510,0,-1210.2,132.787,236.014
32,255,0,-540.642,76.519,131.875
85,539,0,-1288.5,116.119,245.774
72,576,0,-1470.11,185.649,356.679
15,101,0,-245.841,131.619,271.688
112,610,0,-1361.32,76.8225,170.481
81,658,0,-1350.43,67.2016,112.806
59,414,0,-935.989,95.2436,182.324
3,154,0,-355.158,182.876,202.406
139,694,0,-1620.11,88.086,215.998
36,302,0,-682.414,104.467,181.824
163,1180,0,-2789.64,119.445,231.26
98,694,0,-1529.09,85.2441,159.696
79,645,0,-1468.78,106.833,189.314
