sentences,words,OOV,logprob,ppl,ppl1
43,326,0,-806.096,152.947,296.952
35,286,3,-662.452,121.111,219.19
40,324,1,-744.059,112.137,201.181
1,270,0,-649.65,249.593,254.749
33,289,15,-764.551,309.31,617.066
49,423,3,-1035.02,161.012,291.29
48,291,0,-657.1,86.7655,181.165
54,285,17,-692.866,141.827,384.877
42,324,0,-728.345,97.7267,177.002
31,231,0,-499.758,80.8112,145.698
53,360,4,-845.018,116.428,236.399
47,382,2,-905.616,132.093,241.657
21,147,2,-387.544,216.075,470.674
68,440,4,-1101.31,153.155,335.685
27,148,2,-356.286,114.672,275.623
46,415,4,-993.358,149.159,261.173
17,164,7,-478.573,562.886,1117.47
36,281,0,-688.546,148.618,282.061
33,194,0,-463.657,110.291,245.461
46,415,4,-993.358,149.159,261.173
44,288,1,-680.211,113.506,234.462
57,389,2,-833.933,75.5489,142.845
30,110,2,-259.346,75.7384,251.97
55,296,5,-738.883,136.616,346.033
45,240,0,-603.136,130.697,325.886
26,254,0,-544.795,88.2465,139.593
33,303,2,-717.06,140.244,241.134
25,227,5,-535.255,146.9,257.666
36,254,0,-587.873,106.45,206.281
49,341,9,-760.022,98.8117,194.636
148,1112,54,-3281.6,526.091,1263.86
31,232,0,-497.493,77.9127,139.433
66,622,33,-1532.47,218.602,399.781
33,221,0,-546.11,141.266,295.859
43,388,3,-815.995,80.6363,131.664
44,296,8,-771.615,210.932,477.77
63,366,28,-843.9,127.2,313.866
70,411,22,-973.86,132.343,318.784
38,330,12,-817.023,197.246,370.898
9,42,0,-84.555,45.4927,103.09
50,335,4,-860.396,181.241,397.542
25,172,4,-382.457,95.8616,189.031
52,374,10,-962.424,205.835,440.577
41,207,9,-519.279,148.839,419.393
31,302,14,-705.09,162.298,280.691
31,238,3,-513.276,85.0374,152.811
52,377,7,-952.122,180.39,374.37
36,217,2,-653.718,402.21,1097.86
54,348,1,-754.244,76.0166,149.147
47,333,7,-748.351,101.462,197.495
44,176,2,-504.749,206.71,795.896
58,367,9,-823.428,95.3661,199.562
43,297,1,-620.991,67.8943,125.298
92,496,8,-1248.49,142.094,361.734
76,303,9,-857.154,207.316,823.171
45,347,1,-729.619,73.4568,128.447
18,205,7,-502.63,212.319,345.569
48,371,20,-860.446,143.386,282.757
48,327,11,-727.827,99.8908,201.025
41,303,6,-811.944,252.465,541.773
58,282,44,-651.376,158.707,545.601
43,306,0,-645.452,70.7023,128.624
16,125,3,-280.898,108.515,200.651
27,202,4,-495.712,159.648,318.856
14,96,0,-233.348,132.236,269.595
33,229,1,-505.426,86.3972,164.734
39,268,8,-623.275,121.488,249.582
48,301,8,-657.301,84.6389,175.125
53,358,8,-770.987,81.8691,159.522
43,297,16,-807.558,310.787,747.948
24,123,3,-276.208,82.8157,200.325
27,182,1,-458.388,159.879,340.826
30,351,3,-814.388,142.714,218.875
29,156,4,-356.261,92.9588,220.709
45,315,11,-827.975,235.733,529.177
28,178,10,-512.488,411.847,1123.37
48,248,1,-631.732,138.504,361.092
49,352,3,-856.567,141.964,284.673
46,415,4,-993.358,149.159,261.173
9,44,0,-90.3954,50.766,113.355
48,327,11,-727.827,99.8908,201.025
20,99,7,-296.135,440.622,1655.25
64,399,3,-931.219,105.777,224.68
23,117,1,-240.355,53.6014,118.04
56,388,6,-971.308,165.044,348.893
60,386,1,-916.108,114.464,239.608
49,373,2,-892.733,133.523,254.853
32,266,10,-664.301,202.581,393.482
45,399,2,-921.32,121.46,209.269
45,258,5,-663.116,167.966,417.841
16,60,7,-157.653,192.676,943.16
39,312,15,-795.529,233.156,477.035
49,374,2,-887.653,128.363,243.312
17,115,3,-254.817,94.4769,188.431
45,376,3,-912.781,152.646,279.984
44,296,8,-771.615,210.932,477.77
45,262,9,-683.239,196.223,501.823
30,241,2,-573.76,135.811,251.575
12,254,16,-572.338,194.693,253.968
49,374,2,-887.653,128.363,243.312
33,169,2,-446.064,169.949,468.857
69,397,16,-923.171,112.588,264.863
66,358,16,-877.146,141.211,367.074
61,319,3,-715.136,78.87,183.269
55,296,5,-738.883,136.616,346.033
37,296,6,-731.216,172.241,332.228
52,443,1,-944.796,81.7603,137.261
42,371,3,-849.747,118.182,203.748
64,439,8,-1164.21,224.876,502.559
59,329,8,-912.076,251.305,693.999
51,433,0,-845.564,55.8512,89.7021
41,206,1,-501.424,109.222,279.236
47,389,7,-844.814,93.1673,162.763
67,392,6,-938.767,118.123,270.421
42,300,0,-603.735,58.2515,102.908
50,314,11,-858.704,270.762,682.347
36,169,0,-390.321,80.1691,203.983
1,50,1,-137.262,556.201,632.786
55,296,5,-738.883,136.616,346.033
61,365,7,-838.974,100.537,220.548
52,330,6,-814.709,146.818,326.989
44,288,1,-680.211,113.506,234.462
38,179,5,-515.227,269.348,914.266
36,209,2,-515.004,131.631,307.569
45,399,2,-921.32,121.46,209.269
46,345,7,-884.97,201.656,415.198
32,187,1,-455.457,122.815,280.991
42,214,11,-454.051,71.3294,172.466
35,171,6,-393.132,92.3973,241.333
47,314,7,-810.167,194.36,435.493
34,213,6,-539.7,173.548,404.806
39,338,5,-789.972,132.917,235.661
35,244,0,-596.968,137.933,279.633
24,227,1,-470.773,76.4,121.079
40,274,3,-670.961,143.691,299.137
4,207,0,-425.74,104.166,113.95
65,460,7,-1056.74,109.657,215.158
14,104,3,-252.882,158.116,318.995
35,306,1,-794.87,217.697,403.766
27,193,0,-496.521,180.682,373.808
