file lyrics-kanye-west/song_0.txt: 16 sentences, 140 words, 0 OOVs
0 zeroprobs, logprob= -329.207 ppl= 128.914 ppl1= 224.635
file lyrics-kanye-west/song_1.txt: 79 sentences, 535 words, 0 OOVs
0 zeroprobs, logprob= -1196.53 ppl= 88.8683 ppl1= 172.387
file lyrics-kanye-west/song_2.txt: 1 sentences, 656 words, 0 OOVs
0 zeroprobs, logprob= -1355.31 ppl= 115.577 ppl1= 116.417
file lyrics-kanye-west/song_3.txt: 63 sentences, 512 words, 0 OOVs
0 zeroprobs, logprob= -1070.85 ppl= 72.8357 ppl1= 123.452
file lyrics-kanye-west/song_4.txt: 31 sentences, 185 words, 0 OOVs
0 zeroprobs, logprob= -390.519 ppl= 64.2626 ppl1= 129.096
file lyrics-kanye-west/song_5.txt: 79 sentences, 548 words, 0 OOVs
0 zeroprobs, logprob= -1114.36 ppl= 59.8809 ppl1= 108.02
file lyrics-kanye-west/song_6.txt: 115 sentences, 1017 words, 0 OOVs
0 zeroprobs, logprob= -2279.56 ppl= 103.215 ppl1= 174.361
file lyrics-kanye-west/song_7.txt: 64 sentences, 430 words, 0 OOVs
0 zeroprobs, logprob= -874.942 ppl= 59.0389 ppl1= 108.33
file lyrics-kanye-west/song_8.txt: 112 sentences, 880 words, 0 OOVs
0 zeroprobs, logprob= -1942.96 ppl= 90.9128 ppl1= 161.4
file lyrics-kanye-west/song_9.txt: 55 sentences, 425 words, 0 OOVs
0 zeroprobs, logprob= -952.63 ppl= 96.5265 ppl1= 174.375
file lyrics-kanye-west/song_10.txt: 168 sentences, 1046 words, 0 OOVs
0 zeroprobs, logprob= -2434.66 ppl= 101.271 ppl1= 212.613
file lyrics-kanye-west/song_11.txt: 59 sentences, 346 words, 0 OOVs
0 zeroprobs, logprob= -716.936 ppl= 58.9131 ppl1= 118.051
file lyrics-kanye-west/song_12.txt: 45 sentences, 312 words, 0 OOVs
0 zeroprobs, logprob= -675.063 ppl= 77.7914 ppl1= 145.768
file lyrics-kanye-west/song_13.txt: 49 sentences, 292 words, 0 OOVs
0 zeroprobs, logprob= -649.178 ppl= 80.1214 ppl1= 167.191
