file lyrics-kanye-west/song_0.txt: 16 sentences, 140 words, 0 OOVs
0 zeroprobs, logprob= -346.246 ppl= 165.778 ppl1= 297.294
file lyrics-kanye-west/song_1.txt: 79 sentences, 535 words, 0 OOVs
0 zeroprobs, logprob= -1279.34 ppl= 121.231 ppl1= 246.201
file lyrics-kanye-west/song_2.txt: 1 sentences, 656 words, 0 OOVs
0 zeroprobs, logprob= -1464.29 ppl= 169.337 ppl1= 170.667
file lyrics-kanye-west/song_3.txt: 63 sentences, 512 words, 0 OOVs
0 zeroprobs, logprob= -1178.46 ppl= 112.073 ppl1= 200.302
file lyrics-kanye-west/song_4.txt: 31 sentences, 185 words, 0 OOVs
0 zeroprobs, logprob= -421.397 ppl= 89.3125 ppl1= 189.593
file lyrics-kanye-west/song_5.txt: 79 sentences, 548 words, 0 OOVs
0 zeroprobs, logprob= -1210.15 ppl= 85.1274 ppl1= 161.551
file lyrics-kanye-west/song_6.txt: 115 sentences, 1017 words, 0 OOVs
0 zeroprobs, logprob= -2454.76 ppl= 147.407 ppl1= 259.256
file lyrics-kanye-west/song_7.txt: 64 sentences, 430 words, 0 OOVs
0 zeroprobs, logprob= -932.514 ppl= 77.2112 ppl1= 147.448
file lyrics-kanye-west/song_8.txt: 112 sentences, 880 words, 0 OOVs
0 zeroprobs, logprob= -2271.6 ppl= 194.946 ppl1= 381.381
file lyrics-kanye-west/song_9.txt: 55 sentences, 425 words, 0 OOVs
0 zeroprobs, logprob= -1034.73 ppl= 143.113 ppl1= 272.051
file lyrics-kanye-west/song_10.txt: 168 sentences, 1046 words, 0 OOVs
0 zeroprobs, logprob= -2587.41 ppl= 135.304 ppl1= 297.595
file lyrics-kanye-west/song_11.txt: 59 sentences, 346 words, 0 OOVs
0 zeroprobs, logprob= -775.12 ppl= 82.0119 ppl1= 173.873
file lyrics-kanye-west/song_12.txt: 45 sentences, 312 words, 0 OOVs
0 zeroprobs, logprob= -740.788 ppl= 118.86 ppl1= 236.767
file lyrics-kanye-west/song_13.txt: 49 sentences, 292 words, 0 OOVs
0 zeroprobs, logprob= -701.859 ppl= 114.351 ppl1= 253.296
file lyrics-kanye-west/song_14.txt: 66 sentences, 591 words, 0 OOVs
0 zeroprobs, logprob= -1346.91 ppl= 112.225 ppl1= 190.123
file lyrics-kanye-west/song_15.txt: 62 sentences, 490 words, 0 OOVs
0 zeroprobs, logprob= -1206.31 ppl= 153.232 ppl1= 289.643
file lyrics-kanye-west/song_16.txt: 47 sentences, 337 words, 0 OOVs
0 zeroprobs, logprob= -784.449 ppl= 110.366 ppl1= 212.688
file lyrics-kanye-west/song_17.txt: 49 sentences, 366 words, 0 OOVs
0 zeroprobs, logprob= -835.602 ppl= 103.157 ppl1= 191.896
file lyrics-kanye-west/song_18.txt: 80 sentences, 552 words, 0 OOVs
0 zeroprobs, logprob= -1201.86 ppl= 79.7397 ppl1= 150.411
file lyrics-kanye-west/song_19.txt: 121 sentences, 698 words, 0 OOVs
0 zeroprobs, logprob= -1626.92 ppl= 96.932 ppl1= 214.203
file lyrics-kanye-west/song_20.txt: 90 sentences, 735 words, 0 OOVs
0 zeroprobs, logprob= -1741.84 ppl= 129.216 ppl1= 234.339
file lyrics-kanye-west/song_21.txt: 92 sentences, 993 words, 0 OOVs
0 zeroprobs, logprob= -2387.44 ppl= 158.637 ppl1= 253.669
file lyrics-kanye-west/song_22.txt: 80 sentences, 641 words, 0 OOVs
0 zeroprobs, logprob= -1494.06 ppl= 118.086 ppl1= 214.201
file lyrics-kanye-west/song_23.txt: 1 sentences, 564 words, 0 OOVs
0 zeroprobs, logprob= -1332.98 ppl= 228.695 ppl1= 230.909
file lyrics-kanye-west/song_24.txt: 66 sentences, 496 words, 0 OOVs
0 zeroprobs, logprob= -1205.59 ppl= 139.693 ppl1= 269.538
file lyrics-kanye-west/song_25.txt: 81 sentences, 658 words, 0 OOVs
0 zeroprobs, logprob= -1350.43 ppl= 67.2016 ppl1= 112.806
file lyrics-kanye-west/song_26.txt: 65 sentences, 408 words, 0 OOVs
0 zeroprobs, logprob= -853.516 ppl= 63.749 ppl1= 123.581
file lyrics-kanye-west/song_27.txt: 19 sentences, 110 words, 0 OOVs
0 zeroprobs, logprob= -259.481 ppl= 102.679 ppl1= 228.518
file lyrics-kanye-west/song_28.txt: 70 sentences, 556 words, 0 OOVs
0 zeroprobs, logprob= -1396.42 ppl= 170.098 ppl1= 324.744
file lyrics-kanye-west/song_29.txt: 87 sentences, 715 words, 0 OOVs
0 zeroprobs, logprob= -1593.9 ppl= 97.1425 ppl1= 169.525
file lyrics-kanye-west/song_30.txt: 95 sentences, 843 words, 0 OOVs
0 zeroprobs, logprob= -1858.28 ppl= 95.7431 ppl1= 160.09
file lyrics-kanye-west/song_31.txt: 100 sentences, 800 words, 0 OOVs
0 zeroprobs, logprob= -1731.01 ppl= 83.8184 ppl1= 145.8
file lyrics-kanye-west/song_32.txt: 118 sentences, 993 words, 0 OOVs
0 zeroprobs, logprob= -2410.48 ppl= 147.791 ppl1= 267.59
file lyrics-kanye-west/song_33.txt: 57 sentences, 442 words, 0 OOVs
0 zeroprobs, logprob= -1154.48 ppl= 205.87 ppl1= 409.216
file lyrics-kanye-west/song_34.txt: 80 sentences, 641 words, 0 OOVs
0 zeroprobs, logprob= -1494.06 ppl= 118.086 ppl1= 214.201
file lyrics-kanye-west/song_35.txt: 80 sentences, 606 words, 0 OOVs
0 zeroprobs, logprob= -1335.79 ppl= 88.5568 ppl1= 160.059
file lyrics-kanye-west/song_36.txt: 1 sentences, 228 words, 0 OOVs
0 zeroprobs, logprob= -536.56 ppl= 220.322 ppl1= 225.597
