sentences,words,OOV,logprob,ppl,ppl1
31,335,47,-924.367,790.139,1620.35
25,187,3,-594.116,696.079,1693.91
34,281,18,-849.216,723.291,1694.18
18,183,15,-577.53,1273.5,2739.54
33,287,19,-899.756,975.491,2276.67
34,284,6,-918.946,881.74,2020.98
28,220,6,-730.2,1040.77,2583.14
59,418,51,-1219.24,727.872,2099.75
71,241,13,-824.796,573.474,4145
47,308,12,-1010.53,883.41,2593.97
86,330,43,-977.167,416.631,2539.6
26,195,9,-596.229,649.234,1605.21
24,216,25,-629.874,850.443,1985.03
58,284,22,-910.248,699.079,2980.1
79,328,6,-1136.15,681.229,3376.12
39,408,14,-1234.56,709.86,1359.55
51,367,22,-1149.83,800.958,2151.99
59,204,21,-637.432,430.544,3042.54
31,240,8,-783.254,950.941,2377.37
21,165,22,-491.179,988.535,2721.55
46,419,73,-1078.36,563.542,1308.15
44,388,64,-1097.69,961.264,2442.98
88,794,101,-2434.05,1307.91,3253.38
67,529,76,-1559.57,998.088,2771.75
36,663,46,-2041.94,1339.74,2039.26
45,344,45,-1013.01,880.638,2443.4
27,447,84,-1136.6,821.032,1352.48
23,479,76,-1306.68,1167.66,1747.33
83,702,88,-2046.03,861.939,2149.27
82,521,129,-1376.31,800.935,3243.27
80,603,103,-1741.68,1006.67,3043.35
53,327,42,-1000.84,914.256,3248.8
47,335,68,-923.297,871.841,2871.06
69,550,49,-1687.11,911.665,2330.65
46,436,96,-1168.37,1063.81,2731.38
61,436,109,-1200.27,1240.17,4683.33
10,315,53,-814.797,989.869,1287.99
51,570,110,-1547.69,1068.41,2314.91
67,454,123,-1150.86,779.13,2998.62
57,448,128,-1118.23,924.942,3122.15
57,334,63,-978.241,960.377,4071.41
73,669,125,-1929.7,1341.37,3525.64
35,230,21,-724.242,929.403,2919.25
39,341,34,-983.261,694.695,1595.16
34,281,25,-866.817,975.04,2432.22
27,237,32,-678.987,844.632,2051.78
26,251,20,-719.277,629.133,1299.43
42,235,10,-849.321,1516.97,5953.32
32,267,33,-808.375,1093.97,2848.35
25,241,21,-726.293,921.427,2001.39
24,211,5,-675.277,862.955,1896.9
26,191,8,-609.634,825.865,2144.54
24,223,10,-673.706,696.052,1455.26
38,306,4,-1070.52,1407.93,3505.58
28,241,28,-704.095,834.752,2021.21
30,232,13,-719.28,773.883,1924.79
