sentences,words,OOV,logprob,ppl,ppl1
31,335,47,-845.135,445.992,859.998
25,187,3,-543.824,399.971,902.745
34,281,18,-794.95,474.896,1053.47
18,183,15,-556.927,986.802,2065.57
33,287,19,-801.33,459.436,977.319
34,284,6,-833.847,470.531,998.738
28,220,6,-698.465,769.52,1835.93
59,418,51,-1161.29,532.159,1459.78
71,241,13,-857.016,734.977,5739.07
47,308,12,-937.949,542.681,1474.84
86,330,43,-1021.4,547.458,3621.62
26,195,9,-540.099,352.887,801.229
24,216,25,-598.47,607.546,1359.4
58,284,22,-918.464,741.652,3203.23
79,328,6,-1128.32,651.278,3192.27
39,408,14,-1137.37,423.368,770.411
51,367,22,-1094.17,579.507,1484.26
59,204,21,-664.936,559.332,4300.61
31,240,8,-748.004,698.431,1675.55
21,165,22,-491.398,991.585,2731.18
46,419,73,-1051.2,480.437,1091.83
44,388,64,-1073.08,824.103,2051.06
88,794,101,-2456.11,1395.81,3500.82
67,529,76,-1414.84,525.834,1328.22
36,663,46,-1934.97,918.765,1368.04
45,344,45,-987.505,742.426,2007.66
27,447,84,-1114.69,721.422,1177.02
23,479,76,-1254.1,878.825,1293.95
83,702,88,-2012.78,772.278,1897.32
82,521,129,-1433.09,1055.35,4527.34
80,603,103,-1758.81,1077.53,3293.19
53,327,42,-1006.21,948.344,3392.95
47,335,68,-942.318,1002.34,3382.84
69,550,49,-1644.73,768.228,1918.2
46,436,96,-1151.77,963.53,2440.98
61,436,109,-1187.22,1147.76,4272.2
10,315,53,-774.284,702.479,902.159
51,570,110,-1545.63,1058.57,2291.23
67,454,123,-1157.75,810.807,3145.81
57,448,128,-1141.97,1069.32,3703.98
57,334,63,-962.975,862.779,3576.13
73,669,125,-1923.88,1312.55,3439.85
35,230,21,-671.398,564.46,1630.92
39,341,34,-912.078,432.576,935.271
34,281,25,-817.658,659.949,1563.06
27,237,32,-620.909,474.607,1068.63
26,251,20,-652.677,346.418,669.026
42,235,10,-828.852,1271.5,4828.22
32,267,33,-792,949.391,2424.47
25,241,21,-696.09,693.716,1458.96
24,211,5,-664.121,771.761,1674.51
26,191,8,-562.032,488.817,1178.18
24,223,10,-612.834,385.298,753.622
38,306,4,-1061.86,1327.72,3281.55
28,241,28,-672.56,617.596,1437.33
30,232,13,-727.287,833.356,2093.85
45,234,35,-684.703,639.971,2758.79
49,297,42,-831.034,541.582,1815.33
26,202,24,-629.63,1220.17,3445.45
29,201,13,-579.577,468.665,1210.2
25,188,37,-518.045,877.887,2696.27
1,26,4,-58.6449,354.632,463.102
36,247,13,-797.095,895.788,2549.12
49,210,2,-712.182,590.388,2654.32
43,226,47,-632.223,704.45,3403.85
32,255,50,-665.444,642.366,1762.26
24,249,16,-747.726,811.78,1618.54
24,187,8,-565.697,611.904,1446.49
30,193,6,-615.59,686.785,1958.51
22,213,18,-685.543,1442.73,3277.98
31,254,36,-742.515,959.377,2547.03
28,197,16,-586.121,637.392,1730.76
30,297,22,-858.678,653.64,1325.76
22,186,12,-540.051,569.33,1269.82
27,227,21,-628.669,499.055,1126.65
26,248,18,-708.423,585.161,1202.54
41,255,16,-879.487,1383.65,4784.8
43,268,17,-864.376,871.073,2777.98
24,245,10,-645.217,309.874,556.678
51,470,64,-1352.43,910.7,2143.48
51,337,23,-1005.25,567.693,1590.15
47,347,34,-1103.58,1162.76,3355.87
49,402,37,-1274.52,1198.27,3103.43
48,333,42,-967.406,714.012,2110.67
47,346,12,-1111.29,825.616,2124.34
56,336,21,-1076.56,797.575,2616.03
43,286,12,-931.102,865.428,2501.4
48,308,24,-968.322,825.339,2567.94
34,203,16,-677.076,1157.95,4175.67
42,271,13,-949.138,1458.12,4773.43
81,598,74,-1836.98,1087.25,3203.96
40,328,14,-991.296,631.35,1435.46
47,361,18,-1164.91,970.407,2490.26
32,297,15,-898.721,728.064,1538
47,304,7,-1005.51,837.518,2429.72
34,180,6,-512.869,292.224,886.181
28,183,2,-567.384,518.508,1363.69
22,167,19,-459.571,505.076,1274.11
40,175,0,-387.184,63.2203,163.11
16,102,8,-326.081,921.247,2944.09
50,492,47,-1206.19,273.371,513.506
19,128,16,-341.906,407.349,1129.09
56,281,23,-900.412,737.146,3090.07
16,118,6,-372.38,811.363,2112.6
15,98,11,-267.994,424.026,1203.35
30,182,24,-395.528,127.02,318.672
49,378,21,-1037.16,358.585,803.938
38,294,16,-823.631,404.043,917.703
50,492,47,-1206.19,273.371,513.506
28,232,22,-657.174,577.079,1347.1
59,452,53,-1268.62,588.712,1511.78
26,296,26,-768.911,395.98,704.399
31,269,31,-732.323,527.703,1193.95
50,364,56,-1019.7,705.207,2045.06
41,259,7,-822.55,641.708,1836.91
44,334,31,-1016.83,851.813,2269.2
30,161,9,-610.718,2267.75,10420.4
31,243,47,-582.125,366.799,933.31
42,279,11,-839.144,509.234,1352.5
47,266,23,-826.18,706.148,2511.4
23,270,25,-750.726,632.729,1159.28
44,265,11,-913.351,1161.27,3943.38
25,132,0,-465.897,927.884,3384.69
30,174,2,-531.944,429.917,1237.93
43,227,11,-736.443,697.286,2567.2
42,181,4,-574.456,419.841,1760
36,274,12,-838.255,650.037,1582.88
38,289,29,-775.988,401.778,965.093
