sentences,words,OOV,logprob,ppl,ppl1
31,335,6,-937.812,402.747,708.747
25,187,0,-499.509,227.077,468.995
34,281,12,-722.331,242.064,484.446
18,183,3,-503.68,349.816,628.382
33,287,16,-728.671,249.428,488.455
34,284,3,-717.554,189.648,357.743
28,220,0,-670.159,503.794,1112.18
59,418,15,-1130.02,279.216,636.842
71,241,2,-677.823,153.647,685.612
47,308,3,-866.797,290.062,694.955
86,330,30,-1001.7,393.63,2182.8
26,195,4,-538.16,301.995,657.04
24,216,10,-610.034,449.079,914.812
58,284,1,-845.28,301.181,970.189
79,328,0,-978.529,253.658,962.325
39,408,4,-1012.19,192.686,320.197
51,367,4,-1035.83,317.691,713.719
59,204,2,-555,133.794,559.145
31,240,6,-626.434,231.154,475.408
21,165,3,-481.227,426.241,934.408
46,419,30,-1093.26,326.025,646.32
44,388,10,-1145.22,517.346,1070.71
88,794,45,-2282.38,533.158,1114.9
67,529,12,-1414.91,264.723,545.47
36,663,21,-1832.75,504.865,715.74
45,344,11,-1011.13,473.103,1087.52
27,447,42,-1212.16,639.639,984.004
23,479,19,-1354.39,636.984,879.701
83,702,18,-1969.31,369.443,757.019
82,521,93,-1301.66,356.67,1099.64
80,603,31,-1806.88,590.588,1441.71
53,327,20,-939.895,408.151,1152.25
47,335,38,-946.629,564.712,1539.22
69,550,5,-1582.9,378.45,802.414
46,436,32,-1259.03,627.829,1307.4
61,436,26,-1276.11,512.108,1295.57
10,315,17,-807.389,418.21,512.107
51,570,36,-1749.51,978.628,1889.03
67,454,15,-1457.76,760.251,2092.41
57,448,26,-1418.29,914.003,2295.55
57,334,10,-1042.14,543.588,1646.17
73,669,21,-2124.55,884.445,1899.44
35,230,8,-677.344,432.096,1124.86
39,341,12,-1008.04,548.566,1158.62
34,281,9,-778.354,349.657,727.105
27,237,2,-718.499,552.541,1141.42
26,251,5,-644.2,233.551,415.622
42,235,2,-673.608,281.502,778.072
32,267,0,-837.572,632.769,1370.8
25,241,9,-681.244,447.461,863.767
24,211,3,-556.153,249.58,471.857
26,191,1,-519.443,253.998,541.891
24,223,1,-580.608,229.19,412.432
38,306,3,-892.199,413.445,880.136
28,241,2,-732.739,555.061,1163.73
30,232,8,-648.298,356.741,783.766
45,234,0,-719.867,380.336,1192.21
49,297,7,-798.868,227.27,568.481
26,202,1,-601.415,446.071,982.004
29,201,1,-528.44,203.047,438.731
25,188,2,-550.527,406.568,911.639
1,26,1,-67.7695,404.13,513.785
36,247,0,-607.228,139.857,287.352
49,210,0,-591.525,192.257,655.823
43,226,13,-724.76,677.785,2527.13
32,255,8,-667.315,246.497,503.132
24,249,4,-785.304,830.513,1604.44
24,187,0,-494.051,219.52,438.515
30,193,0,-555.45,309.603,755.052
22,213,6,-579.722,340.045,631.813
31,254,6,-780.98,629.812,1409.65
28,197,0,-571.738,347.581,798.401
30,297,8,-872.198,542.205,1042.28
22,186,0,-492.219,232.508,442.934
27,227,0,-627.8,296.247,582.96
26,248,2,-749.608,570.046,1114.77
41,255,3,-735.473,323.702,828.976
43,268,2,-803.677,398.931,1050.37
24,245,2,-648.483,268.396,466.288
51,470,22,-1437.53,760.029,1617.27
51,337,3,-968.82,328.41,795.536
47,347,6,-1058.48,534.61,1270.7
49,402,10,-1310.72,937.903,2206.37
48,333,5,-1026.86,538.294,1351.08
47,346,9,-1045.75,528.831,1268.02
56,336,13,-955.86,332.705,910.584
43,286,4,-807.734,305.729,731.656
48,308,8,-1038.91,966.907,2904.33
34,203,0,-610.934,378.252,1022.18
42,271,8,-812.792,462.264,1231.58
81,598,12,-1815.57,527.228,1253.85
40,328,2,-956.697,411.08,860.308
47,361,9,-1118.81,636.85,1508.13
32,297,4,-894.815,566.601,1132.34
47,304,3,-908.774,408.714,1045.16
34,180,2,-489.388,203.438,561.524
28,183,0,-529.068,321.684,778.18
22,167,0,-478.118,338.63,729.428
40,175,0,-454.632,130.187,396.185
16,102,0,-325.939,578.354,1568.48
50,492,0,-1151.51,133.214,219.009
19,128,0,-363.947,299.111,697.171
56,281,21,-818.712,389.818,1408.94
16,118,0,-357.497,465.467,1070.62
15,98,12,-290.473,751.577,2385.6
30,182,18,-397.815,112.355,266.503
49,378,3,-1023.99,260.059,537.825
38,294,0,-773.022,212.999,425.917
50,492,0,-1151.51,133.214,219.009
28,232,0,-604.419,211.198,402.954
59,452,0,-1200.02,223.039,451.769
26,296,9,-764.908,277.841,462.579
31,269,4,-776.628,420.48,852.459
50,364,1,-967.952,220.653,464.018
41,259,2,-728.175,277.677,681.344
44,334,2,-1034.74,564.912,1308.28
30,161,20,-565.451,2026.43,10239.8
31,243,1,-782.335,734.001,1709.19
42,279,1,-756.718,231.603,527.24
47,266,16,-797.624,484.845,1550.59
23,270,2,-798.328,553.852,952.433
44,265,0,-713.637,203.941,493.139
25,132,3,-405.887,432.147,1400.92
30,174,0,-476.244,216.037,545.799
43,227,2,-603.711,178.918,482.127
42,181,0,-517.026,208.21,718.613
36,274,0,-786.979,345.653,745.049
38,289,1,-757.741,211.038,427.608
36,262,1,-803.917,509.088,1202.66
42,258,7,-724.879,297.844,772.615
50,319,5,-877.949,258.194,625.194
46,267,4,-785.446,348.253,969.36
30,163,10,-533.701,824.895,3077.81
2,150,1,-406.549,492.468,535.201
29,223,1,-522.946,121.186,226.785
33,224,2,-651.487,358.8,860.256
30,220,5,-609.897,308.584,686.639
39,256,1,-736.394,319.699,772.36
39,234,1,-709.251,405.081,1106.62
52,310,0,-846.072,217.378,536.124
52,335,0,-841.81,149.699,325.736
3,256,1,-706.167,545.861,587.872
46,274,10,-690.788,169.18,413.638
36,229,3,-630.844,255.742,618.509
1,18,0,-53.7792,676.834,972.145
30,254,1,-720.43,351.31,703.965
33,267,4,-801.072,508.54,1111.48
25,252,3,-731.613,467.864,867.369
20,160,18,-458.569,677.132,1695.74
42,319,16,-917.042,455.084,1063.02
39,209,2,-650.197,439.619,1383.72
1,1,1,-0.903755,8.01227,undefined
33,233,3,-629.139,246.698,543.737
46,340,6,-935.238,289.17,631.124
16,93,4,-321.607,1155.9,4107.32
28,230,17,-633.506,425.263,942.342
29,184,0,-446.713,125.096,267.785
48,213,0,-591.365,184.403,597.534
4,207,12,-543.072,535.802,609.515
37,322,2,-914.154,363.627,719.006
30,330,0,-825.269,196.072,316.822
43,271,0,-714.478,188.542,432.963
38,259,0,-686.407,204.709,446.912
44,300,3,-879.426,379.282,914.179
31,198,4,-585.869,401.662,1046.99
42,283,15,-900.786,804.935,2296.9
36,256,1,-697.594,249.593,544.082
26,251,0,-750.473,512.023,977.086
46,294,0,-807.305,236.824,557.102
35,347,12,-950.49,370.588,687.517
39,257,1,-781.185,444.719,1125.91
40,357,6,-1090.52,615.239,1279.04
36,237,2,-669.26,294.845,704.554
38,257,1,-650.892,163.651,348.778
42,261,11,-722.567,298.224,776.723
28,209,5,-597.975,377.988,853.59
19,195,1,-546.986,369.835,659.955
31,230,1,-670.18,378.108,844.406
41,323,4,-1002.77,610.184,1391.45
32,297,2,-789.811,260.211,475.692
29,210,0,-622.705,403.145,923.131
26,183,3,-478.84,211.089,457.321
33,227,5,-625.187,282.953,654.875
47,388,2,-1196.95,581.183,1261.54
46,343,4,-977.064,345.007,762.42
