sentences,words,OOV,logprob,ppl,ppl1
31,335,6,-838.859,213.877,354.587
25,187,0,-387.605,67.3482,118.237
34,281,12,-644.695,134.185,249.249
18,183,3,-458.736,207.419,353.617
33,287,16,-644.827,132.173,239.572
34,284,3,-627.583,98.249,171.156
28,220,0,-592.466,244.892,493.202
59,418,15,-928.853,102.448,201.765
71,241,2,-581.14,74.9282,270.115
47,308,3,-719.926,110.98,229.305
86,330,30,-853.107,162.227,697.736
26,195,4,-472.354,150.227,297.207
24,216,10,-577.075,322.867,632.902
58,284,1,-778.325,191.637,562.686
79,328,0,-843.654,118.266,373.35
39,408,4,-861.482,88.0351,135.638
51,367,4,-909.12,157.016,319.495
59,204,2,-466.611,61.3454,204.153
31,240,6,-549.614,118.581,223.242
21,165,3,-414.889,184.992,363.951
46,419,30,-961.441,162.259,296.19
44,388,10,-1006.62,242.859,460.271
88,794,45,-2087.81,312.173,613.003
67,529,12,-1259.7,143.555,273.247
36,663,21,-1647.37,269.001,368.13
45,344,11,-871.616,202.238,414.444
27,447,42,-1116.55,384.248,571.372
23,479,19,-1253.45,393.67,530.749
83,702,18,-1723.99,176.891,331.477
82,521,93,-1126.88,162.017,429.425
80,603,31,-1616.07,301.044,668.794
53,327,20,-814.073,182.522,448.441
47,335,38,-868.22,334.114,838.106
69,550,5,-1382.07,178.208,343.484
46,436,32,-1118.48,305.845,586.819
61,436,26,-1190.21,336.501,799.746
10,315,17,-761.351,296.429,358.815
51,570,36,-1626.01,601.877,1109.09
67,454,15,-1310.24,388.512,965.157
57,448,26,-1223.83,358.898,794.462
57,334,10,-911.768,247.224,651.775
73,669,21,-1952.92,511.25,1032.22
35,230,8,-590.951,199.259,459.134
39,341,12,-904.895,287.71,562.913
34,281,9,-663.461,147.29,274.913
27,237,2,-597.014,189.967,347.123
26,251,5,-553.553,108.423,177.916
42,235,2,-596.5,147.602,363.15
32,267,0,-737.194,292.1,576.801
25,241,9,-613.378,243.604,440.424
24,211,3,-489.848,129.245,226.485
26,191,1,-435.684,104.005,196.369
24,223,1,-500.462,108.243,179.612
38,306,3,-778.996,192.507,372.344
28,241,2,-671.487,327.29,645.014
30,232,8,-605.444,241.901,504.517
45,234,0,-610.149,153.785,405.019
49,297,7,-669.824,94.598,204.051
26,202,1,-506.168,169.752,329.798
29,201,1,-426.472,72.8325,135.632
25,188,2,-448.283,133.218,257.112
1,26,1,-45.8984,58.2534,68.5385
36,247,0,-479.407,49.4332,87.2812
49,210,0,-487.983,76.5782,210.732
43,226,13,-634.578,301.176,953.322
32,255,8,-578.596,118.528,220.036
24,249,4,-703.834,413.508,746.092
24,187,0,-453.011,140.272,264.556
30,193,0,-473.539,132.891,284.166
22,213,6,-552.714,259.178,467.86
31,254,6,-717.186,372.015,779.616
28,197,0,-488.097,147.679,300.365
30,297,8,-765.011,250.124,443.709
22,186,0,-417.942,102.173,176.604
27,227,0,-539.965,133.612,239.166
26,248,2,-652.148,249.806,447.721
41,255,3,-625.182,136.059,302.609
43,268,2,-698.091,181.633,421.118
24,245,2,-542.176,107.305,170.284
51,470,22,-1283.71,373.743,733.556
51,337,3,-836.18,148.558,318.811
47,347,6,-894.698,202.266,420.482
49,402,10,-1164.56,437.235,934.984
48,333,5,-876.295,214.078,469.496
47,346,9,-920.085,248.917,537.307
56,336,13,-815.423,141.747,334.604
43,286,4,-681.79,125.261,261.635
48,308,8,-920.318,441.156,1168.76
34,203,0,-544.981,199.297,483.769
42,271,8,-725.972,240.013,575.903
81,598,12,-1581.65,235.122,500.11
40,328,2,-822.866,177.12,334.294
47,361,9,-1020.22,360.54,791.343
32,297,4,-763.721,223.826,404.163
47,304,3,-808.087,209.937,483.809
34,180,2,-389.816,68.9847,154.873
28,183,0,-456.247,145.314,311.281
22,167,0,-427.628,183.056,363.621
40,175,0,-351.627,43.1992,102.164
16,102,0,-270.946,197.767,453.248
50,492,0,-530.909,9.53975,11.9973
19,128,0,-308.948,126.382,259.211
56,281,21,-691.198,153.934,455.464
16,118,0,-315.189,224.985,468.91
15,98,12,-265.942,429.621,1236.93
30,182,18,-327.011,48.4869,98.6213
49,378,3,-872.339,114.131,211.953
38,294,0,-683.198,114.242,210.767
50,492,0,-530.909,9.53975,11.9973
28,232,0,-519.236,99.326,173.017
59,452,0,-508.658,9.89504,13.346
26,296,9,-625.018,99.2805,150.579
31,269,4,-675.041,190.784,352.633
50,364,1,-779.98,77.3696,140.833
41,259,2,-602.483,105.137,220.949
44,334,2,-956.606,350.079,760.93
30,161,20,-503.143,875.699,3701.58
31,243,1,-696.475,355.787,755.084
42,279,1,-657.517,113.433,231.829
47,266,16,-672.315,183.522,488.946
23,270,2,-690.299,235.593,376.482
44,265,0,-431.992,25.0054,42.6737
25,132,3,-361.869,223.767,638.533
30,174,0,-393.14,84.5581,181.729
43,227,2,-506.815,77.8219,178.86
42,181,0,-423.096,78.9389,217.544
36,274,0,-692.372,171.182,336.438
38,289,1,-641.108,92.5953,168.294
36,262,1,-709.439,244.728,522.586
42,258,7,-558.283,80.427,167.585
50,319,5,-677.858,72.8195,144.14
46,267,4,-660.891,137.659,325.756
30,163,10,-471.205,375.743,1201.63
2,150,1,-387.967,370.951,401.61
29,223,1,-460.421,68.2886,118.569
33,224,2,-537.092,127.716,262.624
30,220,5,-554.581,183.483,379.706
39,256,1,-619.189,127.669,268.035
39,234,1,-600.58,161.441,378.091
52,310,0,-719.315,97.0638,209.108
52,335,0,-600.952,35.7148,62.214
3,256,1,-591.28,195.787,208.327
46,274,10,-581.283,75.0081,159.159
36,229,3,-531.054,106.395,223.766
1,18,0,-13.2497,4.98141,5.44621
30,254,1,-636.566,177.562,328.149
33,267,4,-728.913,290.097,590.925
25,252,3,-657.798,251.608,438.289
20,160,18,-314.243,87.0512,163.299
42,319,16,-771.947,172.793,352.922
39,209,2,-562.727,193.868,522.982
1,1,1,-1.09593,12.4719,undefined
33,233,3,-576.939,156.201,322.425
46,340,6,-782.999,114.954,220.958
16,93,4,-277.563,440,1314.26
28,230,17,-554.58,200.06,401.477
29,184,0,-358.906,48.4179,89.2438
48,213,0,-496.696,79.9925,214.736
4,207,12,-497.451,316.048,355.655
37,322,2,-823.994,203.285,375.821
30,330,0,-689.511,82.2828,122.865
43,271,0,-431.993,23.756,39.2707
38,259,0,-577.074,87.7022,169.077
44,300,3,-737.431,145.396,304.041
31,198,4,-492.154,153.94,344.253
42,283,15,-816.361,429.955,1112.05
36,256,1,-591.502,107.808,208.745
26,251,0,-628.753,186.152,319.885
46,294,0,-646.855,79.8943,158.558
35,347,12,-783.446,131.046,218.095
39,257,1,-687.567,214.159,485.075
40,357,6,-588.779,32.0501,47.581
36,237,2,-584.753,143.801,307.831
38,257,1,-555.443,77.493,147.809
42,261,11,-604.314,117.373,261.37
28,209,5,-512.511,161.845,325.32
19,195,1,-477.429,174.362,289.052
31,230,1,-589.784,185.525,376.251
41,323,4,-901.974,320.245,672.207
32,297,2,-688.514,127.511,215.748
29,210,0,-550.65,201.362,418.933
26,183,3,-399.069,86.5418,164.834
33,227,5,-532.049,122.03,249.241
47,388,2,-1121.73,389.592,805.466
46,343,4,-840.726,152.653,302.008
26,188,9,-515.658,327.647,759.929
37,357,23,-999.569,494.604,983.383
41,366,3,-634.518,37.204,55.9738
40,270,6,-701.931,203.697,455.859
29,204,4,-565.524,294.808,672.391
22,233,1,-585.176,201.299,332.897
28,218,8,-515.36,146.344,284.507
14,131,13,-365.141,583.744,1242.85
67,346,14,-801.108,101.81,258.806
59,414,6,-722.671,35.2757,59.0545
48,181,5,-497.232,165.876,668.621
93,679,9,-1689.97,164.021,332.921
84,466,6,-1164.34,138.142,339.756
82,564,9,-1262.7,95.9989,188.426
70,539,0,-581.773,9.02177,12.0048
56,399,12,-685.6,35.2883,59.0986
107,704,20,-1725.35,151.782,332.993
79,353,23,-870.941,134.722,435.726
100,669,30,-1664.37,178.728,402.391
54,524,0,-533.941,8.3902,10.4465
72,523,1,-922.114,35.6763,58.412
40,498,2,-1071.18,99.6467,144.421
52,475,15,-1192.49,213.344,391.172
22,297,26,-657.906,175.96,267.731
71,533,0,-795.527,20.7538,31.0847
88,503,11,-1131.47,89.2914,199.404
105,578,32,-1830.43,648.217,2251.31
154,736,30,-1666.7,86.7018,229.494
59,392,4,-859.262,83.6154,163.905
78,433,0,-993.156,87.8121,196.636
42,326,6,-745.137,114.391,213.086
22,128,6,-351.891,277.774,766.225
61,412,18,-696.286,33.9077,58.5089
87,477,12,-1109.23,102.205,242.906
40,321,22,-745.05,157.684,310.318
69,535,30,-1208.59,127.515,247.315
95,481,22,-1116.88,103.758,271.194
48,471,3,-1034.05,100.917,161.995
88,439,14,-1188.51,207.386,625.878
79,468,7,-944.992,56.2322,112.169
94,595,37,-1051.8,41.0389,76.7277
60,369,1,-692.479,41.4899,76.1618
54,524,0,-533.941,8.3902,10.4465
113,639,1,-892.968,15.4539,25.0979
50,257,1,-562.566,68.9369,157.589
78,465,2,-930.995,52.587,102.515
19,272,19,-669.805,290.079,444.067
39,213,0,-501.222,97.4937,225.505
21,118,0,-285.743,113.686,263.969
55,463,9,-1132.2,167.633,311.767
80,291,25,-844.32,275.57,1493.27
42,308,3,-678.605,90.2891,167.856
49,379,7,-933.199,164.674,322.552
7,737,57,-1803.92,422.474,449.604
58,493,27,-1279.01,275.966,555.459
45,251,23,-642.035,224.79,654.552
124,653,13,-927.406,16.3637,28.1236
56,421,2,-931.979,91.6348,167.607
61,555,1,-1295.98,128.021,218.43
57,373,8,-820.232,87.8371,176.69
59,452,0,-508.658,9.89504,13.346
58,371,6,-786.568,72.3601,142.883
40,377,0,-406.778,9.45121,11.9946
61,468,18,-1032.15,104.68,196.637
86,697,8,-1445.97,73.4114,125.5
88,524,60,-1106.26,100.948,242.206
140,560,13,-1491.96,148.491,533.984
67,574,6,-1344.47,131,232.82
45,305,0,-571.22,42.8605,74.6195
64,632,0,-971.078,24.8443,34.3966
15,104,5,-256.994,179.611,394.364
44,459,1,-972.684,86.62,132.974
30,136,5,-338.083,125.862,380.877
72,379,15,-812.356,72.9798,170.509
106,633,2,-887.981,16.0272,25.5423
35,193,3,-403.644,62.226,133.181
9,333,26,-763.5,260.698,306.88
53,511,10,-1333.13,254.902,458.079
95,572,4,-1054.53,38.9527,71.872
72,613,40,-1486.27,201.508,392.497
54,524,0,-533.941,8.3902,10.4465
40,412,15,-1071.26,282.751,499.341
6,33,0,-81.1581,120.497,287.962
80,431,11,-1009.46,104.453,253.208
115,546,40,-1423.31,195.867,649.922
88,716,0,-1146.13,26.6401,39.8788
55,401,29,-662.906,35.6839,60.5348
40,377,0,-406.778,9.45121,11.9946
64,309,7,-725.155,95.7853,251.87
71,427,4,-1078.87,152.735,355.23
18,122,3,-257.901,76.2941,146.973
55,421,19,-979.398,139.028,273.095
45,144,4,-476.162,374.844,2518.6
60,377,4,-918.763,132.39,290.517
36,316,1,-859.754,281.476,536.263
88,495,4,-1140.37,93.2305,210.162
3,36,2,-81.7631,162.111,253.979
87,690,21,-1669.98,161.794,313.492
106,646,5,-909.382,16.496,26.2236
