file rapsongs/song_0.txt: 19 sentences, 162 words, 0 OOVs
0 zeroprobs, logprob= -361.858 ppl= 99.8194 ppl1= 171.274
file rapsongs/song_1.txt: 66 sentences, 634 words, 0 OOVs
0 zeroprobs, logprob= -1372.8 ppl= 91.4414 ppl1= 146.319
file rapsongs/song_2.txt: 52 sentences, 340 words, 0 OOVs
0 zeroprobs, logprob= -848.912 ppl= 146.417 ppl1= 313.906
file rapsongs/song_3.txt: 62 sentences, 568 words, 0 OOVs
0 zeroprobs, logprob= -1282.71 ppl= 108.653 ppl1= 181.253
file rapsongs/song_4.txt: 40 sentences, 310 words, 0 OOVs
0 zeroprobs, logprob= -758.035 ppl= 146.492 ppl1= 278.787
file rapsongs/song_5.txt: 77 sentences, 702 words, 0 OOVs
0 zeroprobs, logprob= -1474.81 ppl= 78.1999 ppl1= 126.144
file rapsongs/song_6.txt: 117 sentences, 962 words, 0 OOVs
0 zeroprobs, logprob= -2189.23 ppl= 106.891 ppl1= 188.671
file rapsongs/song_7.txt: 72 sentences, 564 words, 0 OOVs
0 zeroprobs, logprob= -1240.83 ppl= 89.3294 ppl1= 158.51
file rapsongs/song_8.txt: 93 sentences, 676 words, 0 OOVs
0 zeroprobs, logprob= -1503.77 ppl= 90.2597 ppl1= 167.695
file rapsongs/song_9.txt: 1 sentences, 371 words, 0 OOVs
0 zeroprobs, logprob= -837.101 ppl= 177.94 ppl1= 180.442
file rapsongs/song_10.txt: 81 sentences, 695 words, 0 OOVs
0 zeroprobs, logprob= -1426.05 ppl= 68.817 ppl1= 112.687
file rapsongs/song_11.txt: 81 sentences, 718 words, 0 OOVs
0 zeroprobs, logprob= -1630.18 ppl= 109.717 ppl1= 186.4
file rapsongs/song_12.txt: 76 sentences, 823 words, 0 OOVs
0 zeroprobs, logprob= -1779.79 ppl= 95.4426 ppl1= 145.399
file rapsongs/song_13.txt: 60 sentences, 553 words, 0 OOVs
0 zeroprobs, logprob= -1325.18 ppl= 145.14 ppl1= 249.081
file rapsongs/song_14.txt: 61 sentences, 492 words, 0 OOVs
0 zeroprobs, logprob= -1083.28 ppl= 90.9751 ppl1= 159.146
file rapsongs/song_15.txt: 80 sentences, 752 words, 0 OOVs
0 zeroprobs, logprob= -1774.33 ppl= 135.711 ppl1= 228.817
file rapsongs/song_16.txt: 60 sentences, 530 words, 0 OOVs
0 zeroprobs, logprob= -1295.67 ppl= 157.056 ppl1= 278.397
file rapsongs/song_17.txt: 74 sentences, 592 words, 0 OOVs
0 zeroprobs, logprob= -1325.36 ppl= 97.7305 ppl1= 173.294
file rapsongs/song_18.txt: 67 sentences, 524 words, 0 OOVs
0 zeroprobs, logprob= -1129.02 ppl= 81.3503 ppl1= 142.765
file rapsongs/song_19.txt: 56 sentences, 426 words, 0 OOVs
0 zeroprobs, logprob= -1038.74 ppl= 142.913 ppl1= 274.39
file rapsongs/song_20.txt: 71 sentences, 585 words, 0 OOVs
0 zeroprobs, logprob= -1322.74 ppl= 103.84 ppl1= 182.426
file rapsongs/song_21.txt: 57 sentences, 497 words, 0 OOVs
0 zeroprobs, logprob= -1214.46 ppl= 155.657 ppl1= 277.706
file rapsongs/song_22.txt: 87 sentences, 725 words, 0 OOVs
0 zeroprobs, logprob= -1564.97 ppl= 84.5872 ppl1= 144.073
file rapsongs/song_23.txt: 60 sentences, 668 words, 0 OOVs
0 zeroprobs, logprob= -1574.54 ppl= 145.491 ppl1= 227.563
file rapsongs/song_24.txt: 88 sentences, 678 words, 0 OOVs
0 zeroprobs, logprob= -1609.86 ppl= 126.37 ppl1= 236.822
file rapsongs/song_25.txt: 59 sentences, 416 words, 0 OOVs
0 zeroprobs, logprob= -1063.54 ppl= 173.389 ppl1= 360.226
file rapsongs/song_26.txt: 34 sentences, 307 words, 0 OOVs
0 zeroprobs, logprob= -699.155 ppl= 112.282 ppl1= 189.399
file rapsongs/song_27.txt: 65 sentences, 592 words, 0 OOVs
0 zeroprobs, logprob= -1376.89 ppl= 124.66 ppl1= 211.755
file rapsongs/song_28.txt: 62 sentences, 352 words, 0 OOVs
0 zeroprobs, logprob= -874.292 ppl= 129.365 ppl1= 304.638
file rapsongs/song_29.txt: 81 sentences, 820 words, 0 OOVs
0 zeroprobs, logprob= -1893.43 ppl= 126.323 ppl1= 203.736
file rapsongs/song_30.txt: 66 sentences, 536 words, 0 OOVs
0 zeroprobs, logprob= -1242.03 ppl= 115.656 ppl1= 207.595
file rapsongs/song_31.txt: 91 sentences, 480 words, 0 OOVs
0 zeroprobs, logprob= -1161.8 ppl= 108.31 ppl1= 263.274
file rapsongs/song_32.txt: 49 sentences, 395 words, 0 OOVs
0 zeroprobs, logprob= -951.791 ppl= 139.211 ppl1= 256.802
file rapsongs/song_33.txt: 70 sentences, 595 words, 0 OOVs
